Year,Month,Domestic Residents,Residents of other participating EU Member States,Residents of the rest of the world,Total
2005,11,24773.25937885,1405.58636933,10795.93843044,36974.78417867
2005,12,24873.62628218,1356.22132850,11842.87907712,38072.72668774
2006,1,24936.45480309,1319.44989889,11726.78097213,37982.68567413
2006,2,25111.42578894,1393.63418848,12057.28271610,38562.34269352
2006,3,25046.08123409,1328.05735326,12029.26280138,38403.40138872
2006,4,25303.86291140,1333.70375483,11703.90206103,38341.46872725
2006,5,25769.74496636,1322.85120737,11501.72806720,38594.32424088
2006,6,25826.71977786,1370.56956532,11675.11713094,38872.40647420
2006,7,26075.65994515,1385.69056663,12492.59698461,39953.94749636
2006,8,26669.68882512,1391.12748341,13253.48876497,41314.30507352
2006,9,27040.28941498,1408.26720679,13338.90100351,41787.45762534
2006,10,27112.83422429,1416.45190892,13682.26770474,42211.55383794
2006,11,27281.92031197,1366.86036818,13785.49535124,42434.27603136
2006,12,27400.69913318,1147.78486161,14550.55304791,43099.03704267
2007,1,27666.06665266,1375.64303551,14678.04344711,43719.75313529
2007,2,27581.99668008,1374.11089605,14282.04745584,43238.15503204
2007,3,28195.82420784,1579.11320695,14336.77329496,44111.71070973
2007,4,28464.05770471,1449.20901105,14621.65977142,44534.92648714
2007,5,29219.65922684,1359.14660844,15182.74784938,45761.55368466
2007,6,29919.50347367,1312.58653892,16222.37117088,47454.46118347
2007,7,30483.45020627,1269.47249316,18005.18355712,49758.10625655
2007,8,30596.84984706,1328.19682430,17815.07342365,49740.12009497
2007,9,30602.58239211,1367.42425581,17890.87509123,49860.88173916
2007,10,30921.77980546,1749.26823178,17897.90627390,50568.95431111
2007,11,31374.10480283,1380.45494389,18280.10351715,51034.66326383
2007,12,32294.23971552,1390.43335555,18829.37148473,52514.04455582
2008,1,32162.31203635,1546.53221347,18504.45308820,52213.29733802
2008,2,32170.67023621,1465.92574194,17874.00680457,51510.60278272
2008,3,32346.22543785,1599.86721368,17793.20176791,51739.29441944
2008,4,33644.55513382,1561.00386623,20237.43339845,55442.99239850
2008,5,33656.11567706,1604.98849160,18534.76277843,53795.86694709
2008,6,34324.20638862,1656.40681382,18373.25387851,54353.86708095
2008,7,39936.39357326,1029.62835017,14668.54891659,55634.57084002
2008,8,39973.85572473,1130.50327303,15244.44098133,56348.79997909
2008,9,39917.27390234,1257.14440085,15362.97956698,56537.39787017
2008,10,40208.20588298,1212.99308022,15917.37079252,57338.56975572
2008,11,39975.18326194,1176.51593179,15536.75631530,56688.45550903
2008,12,39461.78992164,1090.64541054,15456.84433040,56009.27966258
2009,1,40940.15947029,1137.29662527,16316.08307338,58393.53916894
2009,2,40822.02009369,1172.78075186,16431.58359667,58426.38444222
2009,3,40355.96140241,1145.33427081,15532.13169617,57033.42736939
2009,4,41145.66015163,1198.06384645,15616.35497574,57960.07897382
2009,5,40838.07615014,1247.06326689,15295.23727983,57380.37669686
2009,6,41871.95395391,1065.94992593,15188.43437534,58126.33825518
2009,7,41772.86792949,1066.94030532,15536.18901134,58375.99724615
2009,8,41466.14825743,1099.47994048,15482.35013513,58047.97833304
2009,9,40957.16392725,1070.24806588,15446.64820474,57474.06019787
2009,10,41208.97334013,1145.32653369,15766.65019451,58120.95006833
2009,11,41627.28669819,1196.64531817,15481.15688244,58305.08889880
2009,12,41011.57185038,1290.66586430,15852.67211598,58154.90983066
2010,1,40676.20046862,1453.83136050,16234.40042120,58364.43225032
2010,2,41132.11945488,1720.56288092,17181.97141135,60034.65374715
2010,3,41221.59036861,2185.97682314,17435.26188354,60842.82907529
2010,4,41457.96482322,2762.34472236,18045.56538474,62265.87493032
2010,5,42145.41159955,3146.37837880,18667.53014549,63959.32012384
2010,6,45018.87976798,3416.25161928,18450.75156385,66885.88295111
2010,7,43805.68191220,3691.72429823,19592.80399970,67090.21021013
2010,8,44178.13489556,3731.00105386,19865.10254543,67774.23849485
2010,9,43788.20451797,3680.92165406,19243.05341332,66712.17958535
2010,10,43522.25472069,3656.26262674,19762.08875789,66940.60610532
2010,11,44117.25369344,3822.10014825,20731.23735359,68670.59119528
2010,12,45379.28831943,4035.27500515,20525.15410161,69939.71742619
2011,1,44915.02267885,4150.15496632,20588.18479673,69653.36244190
2011,2,44285.49112898,4209.52143839,20596.42872974,69091.44129711
2011,3,43719.36467157,4485.76312328,20488.28510081,68693.41289566
2011,4,44446.12518385,4732.92179197,21606.15677025,70785.20374607
2011,5,45877.65351865,5104.17623652,21861.47528216,72843.30503733
2011,6,44254.54966235,5429.87649646,21390.63970627,71075.06586508
2011,7,44539.57687794,5463.48617273,21401.40763235,71404.47068302
2011,8,43724.77946026,5247.15904507,20856.02844035,69827.96694568
2011,9,43728.41005747,5294.95990885,20778.44261047,69801.81257679
2011,10,43968.08078205,5281.53283817,20420.48203507,69670.09565529
2011,11,43129.96288923,5418.93037607,20509.17186145,69058.06512675
2011,12,43747.91883548,5355.41120860,20194.24234546,69297.57238954
2012,1,43674.85105607,5518.62035322,20448.38287748,69641.85428677
2012,2,43386.61488498,5773.46114382,20439.33962934,69599.41565814
2012,3,43457.67817238,5858.13490278,21397.73222469,70713.54529985
2012,4,43582.01337477,6139.65924997,21880.08904179,71601.76166653
2012,5,44259.92205641,6425.59411335,21776.23911237,72461.75528213
2012,6,43560.82551305,6605.91179035,20605.91525419,70772.65255759
2012,7,43463.85861645,6451.80339332,20650.82307873,70566.48508850
2012,8,43410.62032285,6274.00103904,20981.24863147,70665.86999336
2012,9,43316.01583685,6173.36183702,21204.57669103,70693.95436490
2012,10,43482.63992761,5988.81234427,20836.01680227,70307.46907415
2012,11,43156.75069372,5819.91390645,20964.90930760,69941.57390777
2012,12,43316.83931469,5322.56366324,21517.96726564,70157.37024357
2013,1,42789.58751196,4748.34802096,20882.87041731,68420.80595023
2013,2,42603.83563581,3887.58545633,20976.57868825,67467.99978039
2013,3,41290.01940895,3390.94215703,19035.40837154,63716.36993752
2013,4,38328.39869194,3093.37568530,15948.79461917,57370.56899641
2013,5,37523.86055231,3330.73183843,15165.38041642,56019.97280716
2013,6,34965.92787073,2699.53121507,13034.13043331,50699.58951911
2013,7,34140.33535726,2616.79719431,12986.29231951,49743.42487108
2013,8,33576.95842730,2479.27925563,12247.38415545,48303.62183838
2013,9,32976.54406882,2789.71736417,11709.03207880,47475.29351179
2013,10,32513.88410896,2682.03193667,12116.32867505,47312.24472068
2013,11,32862.98938347,2632.60437965,11673.09441860,47168.68818172
2013,12,32972.76828421,2253.05920536,11767.36421703,46993.19170660
2014,1,32738.23734384,2248.80894855,11915.72750840,46902.77380079
2014,2,32299.91322283,2203.26657550,11897.43905023,46400.61884856
2014,3,32530.84435791,2162.86470474,11492.32058900,46186.02965165
2014,4,32287.53021288,2148.44843071,11956.44659443,46392.42523802
2014,5,32328.45673085,2139.15854494,12447.47840782,46915.09368361
2014,6,32524.12590265,2115.63265275,11892.89994944,46532.65850484
2014,7,32329.29576980,2103.51753911,12139.73828280,46572.55159171
2014,8,32348.61615412,2077.12733122,11941.49043705,46367.23392239
2014,9,32085.18026057,2072.54329121,11811.34364752,45969.06719930
2014,10,31994.17197636,2074.04307369,11679.71091029,45747.92596034
2014,11,32200.39397162,1920.04209124,11670.78566842,45791.22173128
2014,12,32282.58674937,1957.78271039,11883.98955010,46124.35900986
2015,1,32374.86182649,2057.14663455,12088.08376683,46520.09222787
2015,2,32233.51512364,2124.33938202,12123.96029408,46481.81479974
2015,3,32330.28990061,2194.31759196,12289.19592302,46813.80341559
2015,4,32143.57578916,2212.16727079,12022.90041397,46378.64347392
2015,5,32315.34158815,2247.49276012,11831.66301585,46394.49736412
2015,6,32017.33603120,2408.67040208,11351.11001039,45777.11644367
2015,7,32094.02977171,2543.81802005,11539.66458416,46177.51237592
2015,8,32226.50939952,2580.07110707,11523.44895617,46330.02946276
2015,9,32579.76653522,2635.70481635,11375.73945646,46591.21080803
2015,10,32967.02952472,2736.75038857,11375.12550610,47078.90541939
2015,11,32900.97668056,2804.29222471,11713.46765061,47418.73655588
2015,12,32868.21149714,2733.77798502,10365.88556018,45967.87504234
2016,1,33371.94656006,2725.97351303,10036.37962651,46134.29969960
2016,2,33613.84884742,2748.79336969,9856.77820417,46219.42042128
2016,3,33494.95142183,2807.83536896,9433.96302874,45736.74981953
2016,4,33642.56197026,2860.33542906,9390.34451018,45893.24190950
2016,5,34124.22853083,2985.60986540,9362.84671295,46472.68510918
2016,6,34479.86698544,2988.82854338,9336.72043931,46805.41596813
2016,7,34602.58787090,3069.91313340,9362.13999536,47034.64099966
2016,8,35367.62647872,3093.83890413,9438.88673180,47900.35211465
2016,9,35495.29450006,3093.84313339,9156.56384375,47745.70147720
2016,10,35860.77115623,3147.98439091,9325.41921348,48334.17476062
2016,11,36360.37936176,3198.06910920,9439.17487407,48997.62334503
2016,12,36585.83982377,3198.18748940,9224.89675779,49008.92407096
2017,1,36351.18935106,3221.36625973,9400.57481659,48973.13042738
2017,2,36611.87795466,3225.30573941,9463.61936690,49300.80306097
2017,3,36493.86169055,3344.10167063,9719.14239432,49557.10575550
2017,4,36308.46622927,3325.20441512,9570.78784277,49204.45848716
2017,5,36695.64355570,3322.85544715,9094.63384078,49113.13284363
2017,6,36381.53818411,3250.42725082,8887.30787421,48519.27330914
2017,7,36739.90985420,3266.75018222,8779.55402993,48786.21406635
2017,8,37328.08769196,3232.45671320,8578.72161768,49139.26602284
2017,9,37228.13912777,3242.09513773,8553.40397659,49023.63824209
2017,10,37355.46094317,3291.57271969,8829.91241840,49476.94608126
2017,11,37411.70316259,3281.26257455,8544.52354216,49237.48927930
2017,12,37807.31377331,3196.98062781,8397.85702510,49402.15142622
2018,1,37318.23820429,3217.62762899,8042.10700026,48577.97283354
2018,2,37250.28519050,3232.05864800,8209.81957814,48692.16341664
2018,3,36821.05381571,3181.89631517,7975.33276688,47978.28289776
