Year,Month,Total,Euro,Other,Of which USD,Of which GDP,Of which JPY,Of which CHF
2005,11,27275.45545449,22614.69907913,4660.75637542,3548.59909225,421.16817771,93.91225168,546.48305632
2005,12,28062.3949151,23342.50517923,4719.88973587,3564.45499463,420.29230559,88.49466321,576.43818843
2006,1,28005.4404534799,23274.77288492,4730.66756856,3538.39194777,423.92496592,86.26566063,632.45913889
2006,2,28440.41032536,23348.2921641,5092.11816125,3821.38730079,427.10291609,91.55605324,705.40153392
2006,3,28758.44612532,23550.15662964,5208.28949568,3663.7769257,414.64004182,87.0857163,765.40316017
2006,4,28966.47860292,23680.00764514,5286.47095782,3891.197258,416.59345642,88.66644974,845.97892422
2006,5,29326.68799259,23875.31534468,5451.37264788,3915.30355032,422.61830096,97.49003647,981.21483927
2006,6,30000.20273367,24554.59033816,5445.61239546,3809.68228885,417.79064744,94.2260467,1089.54923012
2006,7,30223.14300881,24771.8126091,5451.33039965,3741.64694622,423.17605798,91.99464553,1159.59089713
2006,8,30288.04934857,24826.754999,5461.29434956,3708.86120134,435.26998585,87.41193798,1199.08949569
2006,9,30615.86273491,24998.11121202,5617.75152289,3747.71883566,431.52919794,86.89166573,1322.01487719
2006,10,31093.6656020299,24984.75743168,6108.90817037,4150.53377599,438.87767644,88.77132301,1400.94131815
2006,11,31160.31516113,25147.53477873,6012.78038241,3974.19999628,438.6190773,99.08771325,1471.64717104
2006,12,31417.43390029,25912.5193152599,5504.91458501,3377.65917228,433.73266641,110.97652924,1552.72416209
2007,1,31609.19911974,25997.4161735,5611.78294622,3411.01912373,430.91333465,118.95563469,1620.45423374
2007,2,31868.80630586,26265.3144381,5603.49186779,3336.53181082,425.60885135,127.70649984,1687.40739294
2007,3,32843.58195652,27166.60916449,5676.97279203,3159.84871541,421.84528108,224.83265017,1765.42724513
2007,4,32900.95136552,27300.11788746,5600.83347804,3091.18446915,421.31110502,191.75686384,1789.46900089
2007,5,33970.0525248,27979.2313311,5990.82119372,3363.70065819,422.2345972,280.90214769,1897.88167467
2007,6,35484.34211043,29109.79126318,6374.55084724,3608.73482784,427.1636648,314.58961199,1997.73064103
2007,7,36182.52724169,29776.6583629,6405.86887879,3578.57866335,424.69933236,322.24538009,2054.01108169
2007,8,36921.77184086,30072.29115569,6849.48068518,3903.86172865,406.66666621,356.71436619,2156.63241757
2007,9,37738.05208937,30989.4654559,6748.58663348,3743.56990915,392.58763265,364.58069271,2221.17459604
2007,10,38507.07254568,31607.654018,6899.41852767,3825.29812183,393.09034211,374.60546392,2270.81085288
2007,11,39035.10473112,31661.41598463,7373.6887465,4121.89771298,378.98418182,289.89932511,2384.89437622
2007,12,41020.03924503,33156.7554081,7863.2838369,4423.94531423,425.87529917,287.20019345,2501.36454372
2008,1,42078.28639253,33438.62650872,8639.65988381,4927.57299163,409.35916556,480.99022472,2771.4592293
2008,2,42529.04732368,33856.89783269,8672.14949099,4836.80773733,393.88068107,484.67185902,2904.66639431
2008,3,43327.47924206,34654.91756752,8672.56167454,4719.81743085,371.19213402,347.72701416,3036.31531589
2008,4,44517.11350454,35261.47497162,9255.63853292,5311.24760245,399.74894283,326.11481587,2994.25405245
2008,5,45338.50080027,35894.87844404,9443.62235623,5469.84807531,415.97385579,326.79994864,2998.75450152
2008,6,46693.26871646,37167.74478265,9525.52393381,5424.26911704,428.82156059,308.69390293,3135.58401802
2008,7,48928.9101258,37699.25551051,11229.65461529,7075.5019502,445.46227672,308.7748216,3161.42027776
2008,8,49792.15705351,37946.26828709,11845.88876642,7584.72705196,427.26172144,331.21384026,3258.93004644
2008,9,51867.1418808,38936.90966425,12930.23221655,8173.67202746,443.17006848,692.952056,3568.55279142
2008,10,53926.38881166,39642.12703299,14284.26177867,9162.78822787,442.91160042,488.17964246,4125.30100863
2008,11,54162.01353896,39955.9413097,14206.07222926,9282.4159225,420.83060962,515.19228461,3924.12574447
2008,12,54442.59896966,41184.26627445,13258.33269521,8159.22396707,355.94972239,503.48501075,4157.59013705
2009,1,55550.79909733,41587.90481689,13962.89428044,7302.12738155,354.31728599,555.3342976,4158.94098832
2009,2,55414.46792065,41695.74436157,13718.72355908,7271.54839174,361.59801689,510.57983868,4179.19452631
2009,3,55128.41349034,41931.94680067,13196.46668967,6868.35111605,357.761538,472.02882555,4111.90088083
2009,4,55967.09618387,42020.57050124,13946.52568263,7522.28240401,369.67309339,470.09154618,4149.08511215
2009,5,55569.30284701,42043.05729591,13526.2455511,7120.96237626,387.1436556,452.81405088,4143.43988496
2009,6,56850.37362855,42851.13172281,13999.24190574,7471.55419911,379.03366975,451.86298354,4123.23115943
2009,7,56440.13080563,43135.70207483,13304.4287308,7463.13983407,366.94256498,449.57723367,4095.81861224
2009,8,56909.87347131,43587.81024779,13322.06322352,7399.69147023,360.07254974,460.23005378,4186.79313869
2009,9,57680.97762333,43939.51475963,13741.4628637,7731.14137859,360.59033228,451.63458016,4207.7038018
2009,10,57752.47831828,43989.76629092,13762.71202736,7782.154935,363.33534014,432.66804117,4183.72990588
2009,11,57454.46936049,44080.49849582,13373.97086467,7352.59893769,400.16895862,446.69581471,4171.14984599
2009,12,57874.02767294,44979.0956126,12894.93206034,7564.27368516,405.06648291,337.68197955,4239.35562116
2010,1,58462.23506314,45031.95669634,13430.2783668,7764.32150973,430.12606948,353.57931233,4260.3750093
2010,2,58382.90687348,45098.50377009,13284.40310339,7874.08708153,443.62848301,373.18758835,4238.12800888
2010,3,59350.56723942,45737.90546337,13612.66177605,8073.2699035,455.78812036,356.72446599,4324.67279713
2010,4,59461.55731393,45656.72170941,13804.83560452,8080.49416576,465.08494032,344.30873795,4272.35372868
2010,5,59871.69865913,45481.31981926,14390.37883987,8578.68808687,475.38213808,399.66762703,4303.48881052
2010,6,61313.5190306,46417.77678786,14895.74224274,8744.58816569,494.01805532,417.15372897,4584.63928903
2010,7,60911.25018474,46487.65876703,14423.59141771,8469.88060962,491.82600872,410.88897113,4459.86902582
2010,8,61239.02878126,46322.82440055,14916.20438071,8821.95980102,495.7192333,431.9265865,4651.47638825
2010,9,59719.64289092,46091.32486913,13628.31802179,8265.55975252,212.64515399,378.82527836,4431.63994384
2010,10,59544.51271489,46263.97242327,13280.54029162,7999.56304133,225.53371887,386.66922282,4284.45990513
2010,11,60238.28938235,46058.99156391,14179.29781844,8608.78200207,236.51281225,401.24284059,4497.24782941
2010,12,61475.09288736,47364.92116957,14110.17171779,8149.81663481,245.23876753,409.83805411,4661.41922541
2011,1,61256.04269972,47335.58629709,13920.45640263,8136.77313977,243.27725718,396.09928226,4507.18283666
2011,2,62238.78605652,47394.85779319,14843.92826333,7968.53204652,250.80319392,394.3365078,4505.29645027
2011,3,63104.93483153,47924.9814026399,15179.95342889,8122.29609793,248.22749379,365.69074179,4421.93457879
2011,4,63265.73010688,48453.45106985,14812.27903703,7737.08033996,249.93350836,359.33450305,4443.23234599
2011,5,63833.55388066,48357.00089129,15476.55298937,8154.26321247,266.37871807,357.5392951,4640.24560185
2011,6,65138.09549194,49276.3714049,15861.72408704,8295.74606609,246.10348194,358.15849482,4715.50754867
2011,7,65985.11707594,49086.8533388,16898.26373714,8757.05303802,254.22955191,380.70563368,4943.65769862
2011,8,66260.00407686,49009.97486527,17250.02921159,9278.22005268,252.65895806,377.3985009,4816.99559353
2011,9,67662.31636881,50171.78643365,17490.52993516,9763.61316413,255.97950212,400.78940753,4564.62161166
2011,10,67847.37798065,50273.83437373,17573.54360692,9353.75010065,256.3691185,379.01635869,4537.54341534
2011,11,68623.55543244,50306.85325586,18316.70217658,9794.30925415,266.38697065,396.62586387,4484.56124728
2011,12,68520.44688337,50407.284517,18113.16236637,10065.05622538,280.554176,412.0684343,4497.82932624
2012,1,68338.2696076,50053.02134707,18285.24826053,10088.84336603,304.52077581,407.93057902,4508.31500364
2012,2,68575.97929143,49857.83296998,18718.14632145,10501.20746489,294.49877651,379.41189497,4489.76125724
2012,3,67930.06553623,49995.77264607,17934.29289016,9681.39125542,364.57007231,360.90923797,4472.74251245
2012,4,68518.27409411,50229.96739249,18288.30670162,10013.2410927,372.79967339,370.6998799,4452.62335466
2012,5,70306.35521364,50181.61970963,20124.73550401,11620.15410129,377.25859363,400.25905379,4431.40293952
2012,6,71690.67716858,51414.53142705,20276.14574153,11678.5289551,379.64123274,404.00294777,4423.19996541
2012,7,72831.68744481,51190.91120397,21640.77624084,12293.22481384,395.76839114,419.16861634,4406.69557143
2012,8,72788.04019487,51057.38033156,21730.65986331,12455.07965944,401.24139374,406.59848786,4399.66575475
2012,9,72650.88734814,51298.74223119,21352.14511695,12183.0191936,403.17124661,392.14286201,4286.84476196
2012,10,71415.00745441,51032.19148567,20382.81596874,11988.70440756,403.10649208,378.71320377,3956.63160886
2012,11,71519.95279227,50934.52700035,20585.42579192,12005.50161124,403.0671458,356.71821473,3961.28760265
2012,12,72466.48017365,52035.03251833,20431.44765532,10919.44023677,403.7080017,303.38472325,3949.4478128
2013,1,72121.32547558,51862.47816432,20258.84731126,10801.56255607,377.65174467,266.82449025,3856.0407374
2013,2,72402.20150089,51608.11878329,20794.0827176,11128.86239092,375.57350116,263.56010142,3887.26526981
2013,3,70421.75218237,50286.44547897,20135.3067034,10558.07506633,371.21495151,262.89319339,3899.63250384
2013,4,68421.4803646,49208.1200912,19213.3602734,9887.84732043,366.51471839,242.49576036,3817.81630493
2013,5,68183.91459132,49185.55365329,18998.36093803,9797.50015178,356.23565545,231.07181683,3704.66247064
2013,6,67790.09287564,49593.21537069,18196.87750495,9469.51676748,339.90052835,232.37469143,3693.37893977
2013,7,66284.57762625,48706.07621455,17578.5014117,9198.72880375,332.55310111,227.37391479,3688.27920595
2013,8,63806.09346352,48343.02183674,15463.07162678,8783.73548559,337.18884661,223.72461663,3648.96494058
2013,9,64075.40659607,49257.92617018,14817.48042589,8218.58670817,343.95440901,215.42844586,3769.79194441
2013,10,63303.03430989,48917.51395391,14385.52035598,8151.10896688,329.66078415,209.54980392,3721.98444123
2013,11,63438.64531423,49215.9994817,14222.64583253,8113.27604335,337.2685732,200.10965927,3679.60662866
2013,12,63597.56780422,50038.24164581,13559.32615841,7458.12143687,344.31127925,193.59271072,3574.56487791
2014,1,63421.84602359,49809.36701545,13612.47900814,7616.68481032,343.34679064,202.03492513,3555.29963892
2014,2,62953.58704287,49613.9185736,13339.66846927,7439.64918282,344.75448311,198.20913107,3554.0121317
2014,3,62045.56947814,49529.57267417,12515.99680397,6773.973315,350.21985964,194.54154626,3516.25817384
2014,4,61353.8613064,49325.15983729,12028.70146911,6615.12397337,350.61434083,193.43981439,3488.84955637
2014,5,60952.40704266,48820.07424963,12132.33279303,6429.77360467,351.45383075,198.45154428,3467.32508057
2014,6,61446.97921819,49377.79454566,12069.18467253,6445.8949906,359.82177785,198.92860555,3511.56564703
2014,7,61076.3027464,48967.30886451,12108.99388189,6307.8394975,373.89859461,197.90932586,3486.50767166
2014,8,60312.20212895,48907.90273361,11404.29939534,6463.99420832,378.57452848,199.09620749,3489.64327511
2014,9,59775.75017483,48716.30669286,11059.44348197,6152.93613,385.59720824,197.51093846,3461.40050252
2014,10,59510.52943112,48489.7602879,11020.76914322,6155.38348141,386.79240155,191.36657886,3440.59978781
2014,11,58740.77500379,47863.25530892,10877.51969487,6238.896993,383.49501882,181.03322931,3169.60353331
2014,12,61516.14994821,48153.13239159,13363.01755662,8922.04629655,401.89606234,182.94979174,3184.14846827
2015,1,64732.38660421,48298.44201462,16433.94458959,11623.52569569,421.81044168,175.03691455,3620.66023517
2015,2,64618.71417319,47711.36657992,16907.34759327,12123.37931146,420.19333946,170.80109884,3545.13897908
2015,3,64161.78508238,47607.65474344,16554.13033894,11991.50862118,385.01763652,177.65923913,3313.40729458
2015,4,63481.74529008,47351.75787136,16129.98741872,11457.06389432,387.32514707,171.00714373,3287.77225502
2015,5,62681.29307668,46682.49446645,15998.79861023,11738.34858606,367.56360161,166.31001134,2810.20740492
2015,6,62551.71769643,46898.61350651,15653.10418992,11561.23079785,367.87182224,165.41914016,2709.7143014
2015,7,62042.1963793199,46790.28416192,15251.9122174,11216.77756124,368.8333527,165.36174142,2653.35921003
2015,8,61500.69965793,46666.89137172,14833.80828621,11017.81320516,357.7605858,162.78056825,2579.77847121
2015,9,61152.65469412,46455.04680232,14697.6078918,10954.21517725,355.73862276,163.98020714,2505.79284591
2015,10,61108.44383942,46377.64320504,14730.80063438,10934.2493798,374.47131026,165.94593721,2502.52985993
2015,11,63226.49088957,46177.83037973,17048.66050984,13253.4513327,390.92316217,164.03957513,2480.36335697
2015,12,62738.55943991,46423.3235948,16315.23584511,12561.32979603,361.28141547,160.19962089,2480.51058276
2016,1,59432.6530421,46287.59185927,13145.06118283,9515.70229944,341.62268686,157.31791582,2406.00557662
2016,2,59179.80675486,46188.81443581,12990.99231905,9320.08707654,338.8473967,168.97192623,2431.60004231
2016,3,57523.4866662099,45494.85862509,12028.62804112,8470.03018101,339.29519005,173.02092309,2306.67320207
2016,4,57404.52545976,45517.22392821,11887.30153155,8304.17537167,347.57322865,179.14094188,2288.33467999
2016,5,55341.01921979,45360.78485938,9980.23436041,6536.00849427,368.00088708,179.02234614,2225.71731689
2016,6,54396.5442381,44814.53309497,9582.01114313,6336.95331845,341.76353856,191.75617448,2182.23057047
2016,7,54060.71899642,44533.72681429,9526.99218213,6334.99698796,340.06227518,189.7441991,2160.28187362
2016,8,54474.11569115,44405.2876874,10068.82800375,6567.27838025,351.44822409,189.13968547,2121.24097594
2016,9,53882.07449586,43916.86291496,9965.2115809,6560.87678325,329.41551124,190.62331631,2072.9275114
2016,10,53790.18353424,43822.5184041,9967.66513014,6591.10637095,312.47984863,187.06056331,2068.14298117
2016,11,53918.73613199,43753.58605403,10165.15007796,6812.92566007,315.87080572,176.74987377,2057.61748937
2016,12,55305.59667839,43929.72812638,11375.86855201,8404.6612054,318.44323953,174.07367057,2046.14729435
2017,1,55053.95951286,43914.65827575,11139.30123711,8125.54424339,334.5029833,175.52369053,2032.49028048
2017,2,55311.28197261,43892.45943905,11418.82253356,8178.37689138,324.82130948,173.2317316,2023.62731997
2017,3,55014.25161152,43615.96698177,11398.28462975,8054.69685679,353.03443801,146.63333567,1916.17979022
2017,4,54626.27373742,43539.80764614,11086.46609128,7783.64216953,356.82507111,150.44082705,1885.83493725
2017,5,54111.21716496,43383.95183583,10727.26532913,7448.0902695,338.60183872,144.21854184,1918.73900651
2017,6,54329.1846404,43254.65335103,11074.53128937,8138.39226832,350.51535351,136.65646908,1883.55838525
2017,7,53590.61497,42873.33190105,10717.28306895,7856.81741733,343.65746125,134.64104166,1804.56164535
2017,8,52930.58822279,42371.43143115,10559.15679164,7695.67381798,325.3572027,133.60023605,1783.29784136
2017,9,52588.00033776,42057.85863845,10530.14169931,7706.2211491,349.93273982,130.48393505,1721.68408376
2017,10,52472.01665558,41852.30626494,10619.71039064,7834.86571682,345.46171393,140.93289971,1668.45026991
2017,11,52106.67339118,41656.92520984,10449.74818134,7712.73921684,356.30041476,139.07024683,1647.04594936
2017,12,51351.31579145,41211.77971931,10139.53607214,7505.22777739,355.70263729,136.4433985,1610.05535295
2018,1,51088.5924165199,41256.88462226,9831.70779426,7215.61505437,369.69884446,136.01700912,1617.02314713
2018,2,51128.92097385,41074.28524176,10054.63573209,7436.4845217,363.62372285,140.56437683,1623.65865441
2018,3,48667.32883574,38993.38162932,9673.94720642,7277.61444937,347.18674279,134.5654944,1440.21575003
