Year,Quarter,Apartment,House
2006,1,74.6,66.0
2006,2,75.3,71.2
2006,3,77.9,72.1
2006,4,83.3,76.3
2007,1,84.5,82.2
2007,2,89.1,89.6
2007,3,93.8,91.3
2007,4,97.5,94.7
2008,1,104.4,103.2
2008,2,104.6,107.9
2008,3,104.4,108.9
2008,4,105.8,104.3
2009,1,100.9,98.8
2009,2,96.8,101.2
2009,3,101.0,100.6
2009,4,102.1,103.0
2010,1,100.0,100.0
2010,2,98.6,100.0
2010,3,97.4,100.5
2010,4,96.7,99.9
2011,1,94.9,99.1
2011,2,93.8,98.0
2011,3,93.0,96.8
2011,4,91.4,95.1
2012,1,90.8,93.9
2012,2,89.3,91.9
2012,3,88.4,91.0
2012,4,87.3,90.5
2013,1,85.7,89.2
2013,2,83.0,87.3
2013,3,81.7,85.0
2013,4,79.3,83.1
2014,1,77.3,80.9
2014,2,75.6,79.4
2014,3,73.6,78.3
2014,4,72.4,76.6
2015,1,71.4,76.0
2015,2,70.9,75.7
2015,3,71.5,75.2
2015,4,70.4,75.6
2016,1,70.8,74.6
2016,2,70.7,74.2
2016,3,70.8,74.2
2016,4,71.7,74.2
2017,1,71.9,74.4
2017,2,73.0,74.5
2017,3,73.4,74.7
2017,4,74.1,74.8